Review_ID,Review_Text_Clean,Rating_Clean,Sentiment_Category,compound,positive,negative,neutral,Text_Length,Word_Count
52,Mixed feelings about this smartphone. Some pros and cons.,3,Neutral,0.0,0.0,0.0,1.0,57,9
53,Excellent build quality. The camera feature is outstanding!,4,Positive,0.8398,0.571,0.0,0.429,59,8
54,Overpriced garbage. smartwatch fails at basic multitasking.,2,Negative,-0.4215,0.0,0.318,0.682,59,7
55,Highly recommend! tablet exceeded my expectations completely.,4,Positive,0.474,0.34,0.0,0.66,61,7
61,Mixed feelings about this tablet. Some pros and cons.,3,Neutral,0.0,0.0,0.0,1.0,53,9
76,Worst purchase ever! headphones broke after just a month.,1,Negative,-0.8016,0.0,0.507,0.493,57,9
77,Highly recommend! headphones exceeded my expectations completely.,4,Positive,0.474,0.34,0.0,0.66,65,7
84,Decent smartwatch for the price. Nothing special but works okay.,3,Positive,0.183,0.196,0.136,0.668,64,10
91,Worst purchase ever! tablet broke after just a month.,2,Negative,-0.8016,0.0,0.507,0.493,53,9
93,Decent smartphone for the price. Nothing special but works okay.,3,Positive,0.183,0.196,0.136,0.668,64,10
94,Overpriced garbage. tablet fails at basic gaming.,2,Negative,-0.4215,0.0,0.318,0.682,49,7
109,"Best tablet I've ever owned. Fast, reliable, and great value.",4,Positive,0.8934,0.605,0.0,0.395,61,10
119,Worst purchase ever! headphones broke after just one week.,2,Negative,-0.8016,0.0,0.507,0.493,58,9
125,"Best headphones I've ever owned. Fast, reliable, and great value.",4,Positive,0.8934,0.605,0.0,0.395,65,10
128,Terrible smartphone. Battery dies quickly and constantly crashes.,2,Negative,-0.4767,0.0,0.307,0.693,65,8
159,Terrible laptop. Battery dies quickly and constantly crashes.,1,Negative,-0.4767,0.0,0.307,0.693,61,8
161,Excellent build quality. The design feature is outstanding!,4,Positive,0.8398,0.571,0.0,0.429,59,8
174,Worst purchase ever! smartwatch broke after just one week.,2,Negative,-0.8016,0.0,0.507,0.493,58,9
176,Worst purchase ever! smartwatch broke after just a month.,2,Negative,-0.8016,0.0,0.507,0.493,57,9
181,Terrible tablet. Battery dies quickly and constantly crashes.,1,Negative,-0.4767,0.0,0.307,0.693,61,8
188,Worst purchase ever! smartphone broke after just a month.,2,Negative,-0.8016,0.0,0.507,0.493,57,9
189,Overpriced garbage. smartwatch fails at basic gaming.,1,Negative,-0.4215,0.0,0.318,0.682,53,7
193,Poor quality control. Multiple defects including charging issues.,2,Negative,-0.7003,0.0,0.492,0.508,65,8
202,Terrible smartwatch. Battery dies quickly and constantly crashes.,2,Negative,-0.4767,0.0,0.307,0.693,65,8
219,Overpriced garbage. headphones fails at basic gaming.,1,Negative,-0.4215,0.0,0.318,0.682,53,7
236,Worst purchase ever! smartphone broke after just one week.,2,Negative,-0.8016,0.0,0.507,0.493,58,9
239,Worst purchase ever! headphones broke after just two days.,1,Negative,-0.8016,0.0,0.507,0.493,58,9
265,Overpriced garbage. laptop fails at basic gaming.,2,Negative,-0.4215,0.0,0.318,0.682,49,7
272,Worst purchase ever! smartwatch broke after just two days.,1,Negative,-0.8016,0.0,0.507,0.493,58,9
279,Worst purchase ever! tablet broke after just one week.,1,Negative,-0.8016,0.0,0.507,0.493,54,9
297,Overpriced garbage. smartphone fails at basic gaming.,2,Negative,-0.4215,0.0,0.318,0.682,53,7
309,Overpriced garbage. headphones fails at basic multitasking.,2,Negative,-0.4215,0.0,0.318,0.682,59,7
328,Mixed feelings about this smartwatch. Some pros and cons.,3,Neutral,0.0,0.0,0.0,1.0,57,9
348,Worst purchase ever! tablet broke after just two days.,2,Negative,-0.8016,0.0,0.507,0.493,54,9
364,Overpriced garbage. tablet fails at basic multitasking.,1,Negative,-0.4215,0.0,0.318,0.682,55,7
378,Worst purchase ever! smartphone broke after just two days.,1,Negative,-0.8016,0.0,0.507,0.493,58,9
388,Overpriced garbage. smartwatch fails at basic video calls.,2,Negative,-0.4215,0.0,0.286,0.714,58,8
428,Overpriced garbage. headphones fails at basic video calls.,1,Negative,-0.4215,0.0,0.286,0.714,58,8
474,Worst purchase ever! laptop broke after just two days.,2,Negative,-0.8016,0.0,0.507,0.493,54,9
529,Overpriced garbage. smartphone fails at basic video calls.,1,Negative,-0.4215,0.0,0.286,0.714,58,8
550,Worst purchase ever! laptop broke after just a month.,2,Negative,-0.8016,0.0,0.507,0.493,53,9
583,Overpriced garbage. laptop fails at basic multitasking.,2,Negative,-0.4215,0.0,0.318,0.682,55,7
628,Overpriced garbage. laptop fails at basic video calls.,1,Negative,-0.4215,0.0,0.286,0.714,54,8
666,Overpriced garbage. smartphone fails at basic multitasking.,1,Negative,-0.4215,0.0,0.318,0.682,59,7
756,Worst purchase ever! laptop broke after just one week.,1,Negative,-0.8016,0.0,0.507,0.493,54,9
